Name;ATK;HP;DEF;ATK_UP;HP_UP;DEF_UP;SPEED_UP;DMG_UP;DMG_DOWN;HEAL;MANA;Effect;Slot;Ability;File;Description
Anvil;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;-2;None;anvil.png;a metalworking tool to forge your armors and weapons
Basic Arm Guard;0;50;100;0;0;0;0;0;0.2;0;0;0,50,100,0,0,0,0,0,0.2,0,0;1;Resist incoming damages by 20%;arm_guard.png;a guard to block a little of damages
Basic Arrow;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;arrow.png;good ol' arrow
Apprentice Magic Book;50;50;50;0;0;0;0;0.2;0.2;0;0;50,50,50,0,0,0,0,0.2,0.2,0,0;1;Increase damages dealt by 20% and decrease incoming damages taken by 20%;book.png;spells written by an apprentice wizard, didn't have any specialities yet
Basic Boots;0;10;10;0;0;0;0.2;0;0;0;0;0,10,10,0,0,0,0.2,0,0,0,0;1;Increases move speed by 20%;boots_01.png;basic boots you could ever find
New Boots;0;30;30;0;0;0;0.3;0;0;0;0;0,30,30,0,0,0,0.3,0,0,0,0;1;Increases move speed by 30%;boots_02.png;fresh boots from your local shoesmiths
Basic Bow;80;30;10;0;0;0;0.2;0;0;0;0;80,30,10,0,0,0,0.2,0,0,0,0;2;Increases move speed by 20%;bow_01.png;basic wooden bow from your great grandparents, at least it's lightweight!
Fancy Bow;200;100;100;0;0;0;0;0;0;0;0;200,100,100,0,0,0,0,0,0,0,0;2;For every enemies defeated, ATK increased by 5%;bow_02.png;your granparents didn't tell you about this fancy bow with golden string and gemstones. This is much heavier but at least it fills you with superpower!
Golden Circlet;50;100;100;0;0;0;0;0;0;0;0;50,100,100,0,0,0,0,0,0,0,0;1;For every enemies defeated, DEF increased by 15%;circlet.png;an arm ornament left by a mistress
Three-Leafed Clover;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;1;One (1) random stat increased by 200;clover_leaf.png;would this serve as a lucky charm?
Compass;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;-2;Return to a previous checkpoint or teleport to boss's lair;compass.png;a traveler's best friend
Cookies;0;0;0;0;0;0;0;0;0;50;0;0,0,0,0,0,0,0,0,0,50,0;-1;Restores 50 HP points;cookies.png;cookies, well, cookies
Copper Ingot;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;copper_ingot.png;Material
Copper Ore;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;copper_ore.png;Material
Fablic Clothe;150;150;100;0;0;0;0;0.5;0.3;0;0;150,150,100,0,0,0,0,0.5,0.3,0,0;1;Increase damages dealt by 50% and decrease incoming damages taken by 30%;fablic_clothe.png;feels like a legendary hero
Fabric;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;fabric.png;Material
Feather;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;feather_a.png;Material
Fish;0;0;0;0;0;0;0;0;0;50;0;0,0,0,0,0,0,0,0,0,50,0;-1;Restores 50 HP points;fish_a.png;raw fish, best to grill in a campfire
Fur;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;fur_a.png;Material
Glasses;0;0;0;0;0;0;0.2;0;0;0;0;0,0,0,0,0,0,0.2,0,0,0,0;0;None;glasses.png;Material
A Traveler's Gloves;0;50;50;0;0;0;0.3;0.4;0;0;0;0,50,50,0,0,0,0.3,0.4,0,0,0;1;Increases move speed by 20%;glove_01.png;basic gloves for adventures
Magical Gloves;200;100;50;0;0;0;0;0;0;0;0;200,100,50,0,0,0,0,0,0,0,0;1;Increases move speed by 30% and damages dealt by 40%;glove_02.png;its 3 magical stones are doing something
Glowing Dust;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;glowing_dust.png;Material
Gold Ingot;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;gold_ingot.png;Material
Gold Ore;0;0;0;0;0;0;0;0;0;0;0;0,0,0,0,0,0,0,0,0,0,0;0;None;gold_ore.png;Material
